Arch,Config,Model,Layer,Phase,OpName,OpType,Cycles,Energy(uJ),Computes,Utilization(%),DRAM_Acc,SRAM_Acc,MLIR_Desc,MLIR_Elems,YAML_N,YAML_C,YAML_M,YAML_R,YAML_S,YAML_P,YAML_Q,YAML_G
gemmini,edge,gemma_7b,attn_decode_0,decode,batch_matmul_0,attn,24576,3307.38,100663296,100.0,12967936,26763264,batch_matmul_0: Q projection,100663296,8,3072,4096,1,1,1,1,1
gemmini,edge,gemma_7b,attn_decode_1,decode,batch_matmul_1,attn,24576,3307.38,100663296,100.0,12967936,26763264,batch_matmul_1: K projection,100663296,8,3072,4096,1,1,1,1,1
gemmini,edge,gemma_7b,attn_decode_2,decode,batch_matmul_2,attn,24576,3307.38,100663296,100.0,12967936,26763264,batch_matmul_2: V projection,100663296,8,3072,4096,1,1,1,1,1
gemmini,edge,gemma_7b,attn_decode_3,decode,batch_matmul_3,attn,8192,896.27,33554432,100.0,688128,17596416,batch_matmul_3: QK^T,33554432,128,256,1024,1,1,1,1,1
gemmini,edge,gemma_7b,attn_decode_4,decode,batch_matmul_4,attn,8192,409.19,33554432,100.0,622592,1179648,batch_matmul_4: Score×V,33554432,128,1024,256,1,1,1,1,1
gemmini,edge,gemma_7b,attn_decode_5,decode,batch_matmul_5,attn,24576,5551.06,100663296,100.0,12886016,114950144,batch_matmul_5: Output projection,100663296,8,4096,3072,1,1,1,1,1
gemmini,edge,gemma_7b,attn_prefill_0,prefill,batch_matmul_0,attn,134217728,1690082.61,103079215104,18.75,360710144,26298286080,batch_matmul_0: Q projection (hidden=3072→4096),103079215104,8,3072,4096,1,1,1024,1,1
gemmini,edge,gemma_7b,attn_prefill_1,prefill,batch_matmul_1,attn,134217728,1690082.61,103079215104,18.75,360710144,26298286080,batch_matmul_1: K projection,103079215104,8,3072,4096,1,1,1024,1,1
gemmini,edge,gemma_7b,attn_prefill_2,prefill,batch_matmul_2,attn,134217728,1690082.61,103079215104,18.75,360710144,26298286080,batch_matmul_2: V projection,103079215104,8,3072,4096,1,1,1024,1,1
gemmini,edge,gemma_7b,attn_prefill_3,prefill,batch_matmul_3,attn,8388608,439442.04,34359738368,100.0,470024192,2751725568,"batch_matmul_3: QK^T (head_dim=256, num_heads=16)",34359738368,128,256,1024,1,1,1024,1,1
gemmini,edge,gemma_7b,attn_prefill_4,prefill,batch_matmul_4,attn,8388608,455705.58,34359738368,100.0,637796352,1745092608,batch_matmul_4: Score×V,34359738368,128,1024,256,1,1,1024,1,1
gemmini,edge,gemma_7b,attn_prefill_5,prefill,batch_matmul_5,attn,50331648,1353060.23,103079215104,50.0,511705088,13824425984,batch_matmul_5: Output projection (4096→3072),103079215104,8,4096,3072,1,1,1024,1,1
gemmini,edge,gemma_7b,ffn_decode_0,decode,batch_matmul_0,ffn,393216,19494.54,603979776,37.5,76111872,160456704,batch_matmul_0: Gate projection,603979776,8,3072,24576,1,1,1,1,1
gemmini,edge,gemma_7b,ffn_decode_1,decode,batch_matmul_1,ffn,393216,19494.54,603979776,37.5,76111872,160456704,batch_matmul_1: Up projection,603979776,8,3072,24576,1,1,1,1,1
gemmini,edge,gemma_7b,ffn_decode_2,decode,batch_matmul_2,ffn,147456,26434.31,603979776,100.0,77881344,389283840,batch_matmul_2: Down projection,603979776,8,24576,3072,1,1,1,1,1
gemmini,edge,gemma_7b,ffn_prefill_0,prefill,batch_matmul_0,ffn,150994944,7694870.12,618475290624,100.0,6417285120,41246785536,batch_matmul_0: Gate projection,618475290624,8,3072,24576,1,1,1024,1,1
gemmini,edge,gemma_7b,ffn_prefill_1,prefill,batch_matmul_1,ffn,150994944,7694870.12,618475290624,100.0,6417285120,41246785536,batch_matmul_1: Up projection,618475290624,8,3072,24576,1,1,1024,1,1
gemmini,edge,gemma_7b,ffn_prefill_2,prefill,batch_matmul_2,ffn,2415919104,9354394.75,618475290624,6.25,29116858368,80681631744,batch_matmul_2: Down projection,618475290624,8,24576,3072,1,1,1024,1,1
gemmini,edge,llama3_8b,attn_decode_0,decode,batch_matmul_0,attn,32768,4360.14,134217728,100.0,17039360,35684352,batch_matmul_0: Q projection,134217728,8,4096,4096,1,1,1,1,1
gemmini,edge,llama3_8b,attn_decode_1,decode,batch_matmul_1,attn,8192,1210.38,33554432,100.0,4251648,13139968,batch_matmul_1: K projection (GQA),33554432,8,4096,1024,1,1,1,1,1
gemmini,edge,llama3_8b,attn_decode_2,decode,batch_matmul_2,attn,8192,1210.38,33554432,100.0,4251648,13139968,batch_matmul_2: V projection (GQA),33554432,8,4096,1024,1,1,1,1,1
gemmini,edge,llama3_8b,attn_decode_3,decode,batch_matmul_3,attn,8192,370.26,33554432,100.0,458752,1769472,batch_matmul_3: QK^T attention score,33554432,256,128,1024,1,1,1,1,1
gemmini,edge,llama3_8b,attn_decode_4,decode,batch_matmul_4,attn,8192,473.35,33554432,100.0,884736,2228224,batch_matmul_4: Score×V,33554432,256,1024,128,1,1,1,1,1
gemmini,edge,llama3_8b,attn_decode_5,decode,batch_matmul_5,attn,32768,4360.14,134217728,100.0,17039360,35684352,batch_matmul_5: Output projection,134217728,8,4096,4096,1,1,1,1,1
gemmini,edge,llama3_8b,attn_prefill_0,prefill,batch_matmul_0,attn,268435456,1859950.91,137438953472,12.5,1325400064,17465081856,batch_matmul_0: Q/K/V projection (hidden→hidden),137438953472,8,4096,4096,1,1,1024,1,1
gemmini,edge,llama3_8b,attn_prefill_1,prefill,batch_matmul_1,attn,67108864,641172.62,34359738368,12.5,1166016512,6543114240,"batch_matmul_1: K projection (hidden→GQA head, 4096→1024)",34359738368,8,4096,1024,1,1,1024,1,1
gemmini,edge,llama3_8b,attn_prefill_2,prefill,batch_matmul_2,attn,67108864,641172.62,34359738368,12.5,1166016512,6543114240,"batch_matmul_2: V projection (hidden→GQA head, 4096→1024)",34359738368,8,4096,1024,1,1,1024,1,1
