hardware,model,block,action,config,batch,length,attention_latency_ms,ffn_latency_ms,total_latency_ms,total_flops,assumed_power_w,estimated_energy_j,throughput_GFLOPS,energy_efficiency_GFLOPS_per_J
A100,gemma-7b,0,prefill,server,8,128,1.0528,2.2297,3.2824999999999998,569307500000.0,250.0,0.8206249999999999,173437.16679360246,693.7486671744099
A100,gemma-7b,0,prefill,server,8,256,1.9939,4.8768,6.8707,1142947900000.0,250.0,1.717675,166351.0122694922,665.4040490779688
A100,gemma-7b,0,prefill,server,8,512,4.3512,9.7031,14.0543,2303227000000.0,250.0,3.513575,163880.59170502977,655.522366820119
A100,gemma-7b,0,prefill,server,8,1024,10.662,19.0176,29.6796,4675776500000.0,250.0,7.4199,157541.76269221958,630.1670507688783
A100,gemma-7b,0,decode,server,8,128,0.57,0.3959,0.9659,4447715400.0,250.0,0.241475,4604.736929288746,18.418947717154985
A100,gemma-7b,0,decode,server,8,256,0.5614,0.3962,0.9576,4464640100.0,250.0,0.2394,4662.3225772765245,18.6492903091061
A100,gemma-7b,0,decode,server,8,512,0.5718,0.3953,0.9671,4498489400.0,250.0,0.241775,4651.524557956778,18.60609823182711
A100,gemma-7b,0,decode,server,8,1024,0.7326,0.396,1.1286,4566188100.0,250.0,0.28215,4045.8870281765016,16.183548112706006
A100,llama3-70b,0,prefill,server,8,128,3.37,10.0186,13.3886,1756934500000.0,250.0,3.34715,131226.1550871637,524.9046203486548
A100,llama3-70b,0,prefill,server,8,256,5.9858,15.9825,21.9683,3522626800000.0,250.0,5.492075,160350.45042174406,641.4018016869762
A100,llama3-70b,0,prefill,server,8,512,13.2818,27.6597,40.941500000000005,7080285000000.0,250.0,10.235375000000001,172936.62909272983,691.7465163709193
A100,llama3-70b,0,prefill,server,8,1024,29.3675,54.6548,84.0223,14300692000000.0,250.0,21.005575,170201.14898068726,680.8045959227491
A100,llama3-70b,0,decode,server,8,128,0.7563,1.2668,2.0231,13726057000.0,250.0,0.505775,6784.6656121793285,27.138662448717312
A100,llama3-70b,0,decode,server,8,256,0.8501,1.1421,1.9922,13760267000.0,250.0,0.49805,6907.071077201084,27.628284308804336
A100,llama3-70b,0,decode,server,8,512,1.1301,1.1824,2.3125,13828686000.0,250.0,0.578125,5979.972324324324,23.919889297297296
A100,llama3-70b,0,decode,server,8,1024,1.7093,1.2639,2.9732000000000003,13965525000.0,250.0,0.7433000000000001,4697.13608233553,18.78854432934212
A100,llama3-8b,0,prefill,server,8,128,1.3385,1.3961,2.7346,448972420000.0,250.0,0.68365,164182.1180428582,656.7284721714328
A100,llama3-8b,0,prefill,server,8,256,2.586,2.6357,5.2217,902323800000.0,250.0,1.305425,172802.68877951626,691.2107551180651
A100,llama3-8b,0,prefill,server,8,512,5.8598,5.5979,11.457699999999999,1822162600000.0,250.0,2.8644249999999998,159033.88987318572,636.1355594927429
A100,llama3-8b,0,prefill,server,8,1024,15.2693,11.1322,26.4015,3714387900000.0,250.0,6.600375,140688.51769785807,562.7540707914322
A100,llama3-8b,0,decode,server,8,128,0.5753,0.258,0.8333,3507596900.0,250.0,0.208325,4209.284651386056,16.837138605544222
