model,block,action,config,batch,length,arch,total_latency_cycles,total_energy_uJ,total_flops,throughput_GFLOPS,energy_eff_GFLOPS_per_J
llama3-70b,0,decode,edge,1,128,gemmini_os,40197400.0,458589.69999999995,1715895808.0,42.686736157064885,3.7416797804224564
llama3-70b,0,decode,edge,1,128,gemmini_ws,20094968.0,458201.26,1715895808.0,85.38932771627205,3.7448517884913715
llama3-70b,0,decode,edge,1,128,lego,20097160.0,458049.45999999996,1715895808.0,85.38001429057638,3.7460928520688577
llama3-70b,0,decode,edge,1,256,gemmini_os,40281496.0,459380.74,1720196608.0,42.704387344501804,3.7445988876242398
llama3-70b,0,decode,edge,1,256,gemmini_ws,20129976.0,458991.33,1720196608.0,85.45447883296036,3.747775819643478
llama3-70b,0,decode,edge,1,256,lego,20132168.0,458840.07999999996,1720196608.0,85.4451745087762,3.7490112197696424
llama3-70b,0,decode,edge,1,512,gemmini_os,40449688.0,460962.8,1728798208.0,42.73946953558703,3.750407208564335
llama3-70b,0,decode,edge,1,512,gemmini_ws,20199992.0,460571.96,1728798208.0,85.5841035976648,3.753589793004333
llama3-70b,0,decode,edge,1,512,lego,20202184.0,460432.8,1728798208.0,85.57481745538007,3.754724268123383
llama3-70b,0,decode,edge,1,1024,gemmini_os,40792216.0,464127.89999999997,1746001408.0,42.80231816776024,3.7618971149978275
llama3-70b,0,decode,edge,1,1024,gemmini_ws,20346168.0,463734.19,1746001408.0,85.81475430656033,3.7650909629932614
llama3-70b,0,decode,edge,1,1024,lego,20348360.0,463582.45999999996,1746001408.0,85.80551002636085,3.7663232728865546
llama3-70b,0,decode,edge,1,4096,gemmini_os,42800280.0,483111.51999999996,1849220608.0,43.20580631715494,3.827730309556684
llama3-70b,0,decode,edge,1,4096,gemmini_ws,21176120.0,482692.04,1849220608.0,87.32575221523112,3.8310567706896514
llama3-70b,0,decode,edge,1,4096,lego,21178312.0,482582.17,1849220608.0,87.31671381552978,3.8319289914917496
llama3-70b,0,decode,server,8,128,gemmini_os,28570464.0,2164468.42,13727166464.0,480.4670468075002,6.342049778670368
llama3-70b,0,decode,server,8,128,gemmini_ws,8411808.0,2163728.82,13727166464.0,1631.892509196596,6.344217601168708
llama3-70b,0,decode,server,8,128,lego,8407920.0,2163933.2199999997,13727166464.0,1632.6471308004834,6.343618341419983
llama3-70b,0,decode,server,8,256,gemmini_os,28661600.0,2172923.39,13761572864.0,480.1397292544729,6.333206650235377
llama3-70b,0,decode,server,8,256,gemmini_ws,8453472.0,2172179.69,13761572864.0,1627.9196126751233,6.335374981799963
llama3-70b,0,decode,server,8,256,lego,8449840.0,2172438.59,13761572864.0,1628.6193423780805,6.3346199645624965
llama3-70b,0,decode,server,8,512,gemmini_os,28905568.0,2189795.23,13830385664.0,478.46787387122095,6.315835140439136
llama3-70b,0,decode,server,8,512,gemmini_ws,8531488.0,2188985.9299999997,13830385664.0,1621.0988826333694,6.318170196735802
llama3-70b,0,decode,server,8,512,lego,8527920.0,2189218.23,13830385664.0,1621.7771348699332,6.317499769769412
llama3-70b,0,decode,server,8,1024,gemmini_os,29374048.0,2223673.4699999997,13968011264.0,475.5221773995876,6.2815028611192645
llama3-70b,0,decode,server,8,1024,gemmini_ws,8672928.0,2222743.87,13968011264.0,1610.5300613587476,6.2841299227157466
llama3-70b,0,decode,server,8,1024,lego,8669296.0,2222963.17,13968011264.0,1611.204792638295,6.283509980059634
llama3-70b,0,decode,server,8,4096,gemmini_os,32198240.0,2425984.28,14793764864.0,459.45880470485343,6.098046465494821
llama3-70b,0,decode,server,8,4096,gemmini_ws,9530336.0,2425144.08,14793764864.0,1552.2815632103632,6.100159155904667
llama3-70b,0,decode,server,8,4096,lego,9528496.0,2425592.58,14793764864.0,1552.5813165057739,6.09903121652854
llama3-70b,0,prefill,edge,1,128,gemmini_os,67883649.0,1090033.21,219634663424.0,3235.457531518378,201.49355213131534
llama3-70b,0,prefill,edge,1,128,gemmini_ws,121289728.0,1212485.81,219634663424.0,1810.8265806647698,181.14411039911468
llama3-70b,0,prefill,edge,1,128,lego,94064129.0,2108128.91,219634663424.0,2334.946017774746,104.18464562681794
llama3-70b,0,prefill,edge,1,256,gemmini_os,123099905.0,1770965.88,440370331648.0,3577.3409544710858,248.66110444092803
llama3-70b,0,prefill,edge,1,256,gemmini_ws,230127616.0,1984334.7799999998,440370331648.0,1913.5918552599962,221.92340530764676
llama3-70b,0,prefill,edge,1,256,lego,152605696.0,2388154.1799999997,440370331648.0,2885.6742781606263,184.39778107123723
llama3-70b,0,prefill,edge,1,512,gemmini_os,235621888.0,3188041.1399999997,885144682496.0,3756.631822320344,277.64531372891884
llama3-70b,0,prefill,edge,1,512,gemmini_ws,450555904.0,3586717.54,885144682496.0,1964.5612778297984,246.78405049314253
llama3-70b,0,prefill,edge,1,512,lego,345071616.0,6040794.34,885144682496.0,2565.1042898179144,146.52786250888985
llama3-70b,0,prefill,edge,1,1024,gemmini_os,468904960.0,6266101.79,1787905441792.0,3812.937789764476,285.3297794563915
llama3-70b,0,prefill,edge,1,1024,gemmini_ws,902422528.0,7046517.79,1787905441792.0,1981.22873301319,253.72893322277415
llama3-70b,0,prefill,edge,1,1024,lego,575721472.0,14076153.79,1787905441792.0,3105.5041869134943,127.01661749832303
llama3-70b,0,prefill,edge,1,4096,gemmini_os,2099802112.0,28581511.919999998,7574407610368.0,3607.200681950738,265.01073951472057
llama3-70b,0,prefill,edge,1,4096,gemmini_ws,3921903616.0,31610037.919999998,7574407610368.0,1931.3089642149941,239.62032660440417
llama3-70b,0,prefill,edge,1,4096,lego,4161765376.0,62925072.92,7574407610368.0,1819.9987087325896,120.37185272709573
llama3-70b,0,prefill,server,8,128,gemmini_os,46183361.0,7086350.09,1757077307392.0,38045.67855925427,247.95237111859936
llama3-70b,0,prefill,server,8,128,gemmini_ws,18938880.0,6846694.09,1757077307392.0,92776.19940524465,256.63149021924534
llama3-70b,0,prefill,server,8,128,lego,47891456.0,10651202.09,1757077307392.0,36688.74271419102,164.96516473400234
llama3-70b,0,prefill,server,8,256,gemmini_os,54826881.0,11666445.879999999,3522962653184.0,64256.120153615884,301.9739421432091
llama3-70b,0,prefill,server,8,256,gemmini_ws,31897600.0,11728897.879999999,3522962653184.0,110446.01014446229,300.36604370060394
llama3-70b,0,prefill,server,8,256,lego,43730944.0,13952940.879999999,3522962653184.0,80559.94979628155,252.48889703487373
llama3-70b,0,prefill,server,8,512,gemmini_os,36092993.0,20336677.4,7081157459968.0,196192.0270776103,348.19638039633753
llama3-70b,0,prefill,server,8,512,gemmini_ws,71168000.0,22213420.4,7081157459968.0,99499.17743884891,318.778348064218
llama3-70b,0,prefill,server,8,512,lego,156667904.0,30270491.4,7081157459968.0,45198.52043190672,233.92938576372103
llama3-70b,0,prefill,server,8,1024,gemmini_os,82320001.0,41394681.2,14303243534336.0,173751.74150369604,345.53336611603135
llama3-70b,0,prefill,server,8,1024,gemmini_ws,145317888.0,44199982.2,14303243534336.0,98427.27369073791,323.6029252142097
llama3-70b,0,prefill,server,8,1024,lego,215851008.0,65440179.2,14303243534336.0,66264.4277961213,218.56974887892727
llama3-70b,0,prefill,server,8,4096,gemmini_os,548943360.0,206094396.2,60595260882944.0,110385.26977162817,294.01702326802035
llama3-70b,0,prefill,server,8,4096,gemmini_ws,861732864.0,215167776.2,60595260882944.0,70317.9180165792,281.6186603454054
llama3-70b,0,prefill,server,8,4096,lego,1236271104.0,301712336.20000005,60595260882944.0,49014.54113655641,200.8378631319086
