model,block,action,config,batch,length,attention_latency_ms,ffn_latency_ms,total_latency_ms,attention_energy_j,ffn_energy_j,total_energy_j,attention_flops,ffn_flops,total_flops,throughput_GFLOPS,energy_efficiency_GFLOPS_per_J
llama3-70b,0,prefill,edge,1,128,4.47296,8.6016,13.074559999999998,0.05671501,0.1117062,0.16842121000000002,17457220000.0,35173700000.0,52630920000.0,4025.4448333251758,312.495795511741
llama3-70b,0,prefill,edge,1,256,9.241088,17.2032,26.444288,0.1036845,0.1861595,0.289844,35461790000.0,70347390000.0,105809180000.0,4001.211150022266,365.05561612453596
llama3-70b,0,prefill,edge,1,512,19.39866,34.84672,54.24538,0.2121124,0.3314808,0.5435932,73113010000.0,140694000000.0,213807010000.0,3941.4787028867713,393.32171557701605
llama3-70b,0,prefill,edge,1,1024,42.33626,69.69344,112.02969999999999,0.490069,0.6516879,1.1417568999999999,154983700000.0,281388000000.0,436371700000.0,3895.142984405029,382.1931796514653
llama3-70b,0,prefill,edge,1,4096,253.2311,283.0008,536.2319,3.834023,2.645623,6.479646000000001,830119900000.0,1125552000000.0,1955671900000.0,3647.063705087295,301.81770732536927
llama3-70b,0,decode,edge,1,128,1.065232,2.175396,3.240628,0.01813856,0.03670337,0.05484193,136384500.0,274794200.0,411178700.0,126.88241291502759,7.4975242483260525
llama3-70b,0,decode,edge,1,256,1.07464,2.175396,3.250036,0.01839179,0.03670337,0.055095160000000004,138522600.0,274794200.0,413316800.0,127.17299131455775,7.5018713077518955
llama3-70b,0,decode,edge,1,512,1.093456,2.175396,3.268852,0.01889824,0.03670337,0.055601609999999996,142798800.0,274794200.0,417593000.0,127.74913027570535,7.510447988826224
llama3-70b,0,decode,edge,1,1024,1.131088,2.175396,3.306484,0.01991114,0.03670337,0.05661451,151351300.0,274794200.0,426145500.0,128.88176685566904,7.527142776648601
llama3-70b,0,decode,edge,1,4096,1.605008,2.175396,3.780404,0.0302923,0.03670337,0.06699567000000001,202666000.0,274794200.0,477460200.0,126.29872362847992,7.126732220156914
llama3-70b,0,prefill,server,8,128,0.7296,1.073152,1.8027520000000001,0.2360839,0.3957952,0.6318791,139657700000.0,281389600000.0,421047300000.0,233558.08230971312,666.3415517303864
llama3-70b,0,prefill,server,8,256,1.540352,2.146304,3.686656,0.5000813,0.7915903,1.2916716,283694300000.0,562779100000.0,846473400000.0,229604.6607006458,655.3317422168298
llama3-70b,0,prefill,server,8,512,3.441152,4.292608,7.73376,1.114949,1.583181,2.69813,584904100000.0,1125558000000.0,1710462100000.0,221168.2415797749,633.9435460856223
llama3-70b,0,prefill,server,8,1024,9.372672,8.585216,17.957888,2.644962,3.166361,5.811323,1239870000000.0,2251117000000.0,3490987000000.0,194398.5283792838,600.7215568640738
llama3-70b,0,prefill,server,8,4096,89.13306,34.34086,123.47391999999999,22.00895,12.66545,34.6744,6640959000000.0,9004466000000.0,15645425000000.0,126710.361183965,451.20968207092267
llama3-70b,0,decode,server,8,128,0.145728,0.267828,0.41355600000000003,0.02024715,0.03815191,0.058399059999999996,1091076000.0,2181566000.0,3272642000.0,7913.419222547852,56.039292413268306
llama3-70b,0,decode,server,8,256,0.158416,0.267828,0.426244,0.02173473,0.03815191,0.05988664,1108181000.0,2181566000.0,3289747000.0,7717.990165257458,54.932903231839354
llama3-70b,0,decode,server,8,512,0.184016,0.267828,0.451844,0.02470988,0.03815191,0.06286179,1142391000.0,2181566000.0,3323957000.0,7356.426111666859,52.87722478154058
llama3-70b,0,decode,server,8,1024,0.235216,0.267828,0.503044,0.03067586,0.03815191,0.06882777,1210810000.0,2181566000.0,3392376000.0,6743.6963764601105,49.28789644063726
llama3-70b,0,decode,server,8,4096,0.542416,0.267828,0.810244,0.06666266,0.03815191,0.10481457,1621328000.0,2181566000.0,3802894000.0,4693.517014627692,36.28211230556973
