model,layer,action,config,batch,length,canonical_cluster,mlir_cluster,generic_ops,cycles,external_access,sram_access,flops,source_op_ids,operation_kinds,semantic_stages
llama3-8b,attention,decode,edge,1,128,C0,Cluster_14,1,128.0,16384.0,1024.0,0.0,0,layout,input
llama3-8b,attention,decode,edge,1,128,C1,Cluster_13,6,329808.0,42215424.0,7916160.0,41943040.0,1 3 4 9 10 11,layout matmul transpose layout matmul transpose,q_proj q_rope v_proj v_head_layout
llama3-8b,attention,decode,edge,1,128,C2,Cluster_12,3,66576.0,8521728.0,2631808.0,8388608.0,5 7 8,layout matmul transpose,k_proj k_rope
llama3-8b,attention,decode,edge,1,128,C3,Cluster_11,1,192.0,24576.0,12288.0,4096.0,12,mul,q_rope
llama3-8b,attention,decode,edge,1,128,C4,Cluster_10,1,64.0,8192.0,8192.0,2048.0,13,negf,q_rope
llama3-8b,attention,decode,edge,1,128,C5,Cluster_9,2,256.0,32768.0,24576.0,8192.0,14 15,mul add,q_rope
llama3-8b,attention,decode,edge,1,128,C6,Cluster_8,1,48.0,6144.0,3072.0,1024.0,16,mul,k_rope
llama3-8b,attention,decode,edge,1,128,C7,Cluster_7,1,16.0,2048.0,2048.0,512.0,17,negf,k_rope
llama3-8b,attention,decode,edge,1,128,C8,Cluster_6,3,8240.0,1054720.0,1316864.0,2048.0,18 19 20,mul add expand,k_rope k_repeat
llama3-8b,attention,decode,edge,1,128,C9,Cluster_5,1,10240.0,1310720.0,655360.0,0.0,21,expand,v_repeat
llama3-8b,attention,decode,edge,1,128,C10,Cluster_4,4,8320.0,1064960.0,5275648.0,1048576.0,22 23 24 26,transpose layout layout matmul,k_layout q_rope qk
llama3-8b,attention,decode,edge,1,128,C11,Cluster_3,4,144.0,18432.0,82048.0,20480.0,27 28 29 31,trunc+mul add extend max-reduce,scale mask fp32_extend max_reduce
llama3-8b,attention,decode,edge,1,128,C12,Cluster_2,6,320.0,40960.0,196608.0,20480.0,32 33 35 36 37 38,sub exp sum-reduce div trunc layout,subtract exp sum_reduce divide bf16_trunc softmax_layout
llama3-8b,attention,decode,edge,1,128,C13,Cluster_1,3,8512.0,1089536.0,1593344.0,1048576.0,39 40 41,layout matmul transpose,v_matmul_layout av o_proj
llama3-8b,attention,decode,edge,1,128,C14,Cluster_0,3,264256.0,33824768.0,6316032.0,33554432.0,42 43 44,layout layout matmul,o_proj
llama3-8b,attention,decode,edge,1,4096,C0,Cluster_15,1,128.0,16384.0,1024.0,0.0,0,layout,input
llama3-8b,attention,decode,edge,1,4096,C1,Cluster_14,6,329808.0,42215424.0,7916160.0,41943040.0,1 3 4 9 10 11,layout matmul transpose layout matmul transpose,q_proj q_rope v_proj v_head_layout
llama3-8b,attention,decode,edge,1,4096,C2,Cluster_13,3,66576.0,8521728.0,2631808.0,8388608.0,5 7 8,layout matmul transpose,k_proj k_rope
llama3-8b,attention,decode,edge,1,4096,C3,Cluster_12,1,192.0,24576.0,12288.0,4096.0,12,mul,q_rope
llama3-8b,attention,decode,edge,1,4096,C4,Cluster_11,1,64.0,8192.0,8192.0,2048.0,13,negf,q_rope
llama3-8b,attention,decode,edge,1,4096,C5,Cluster_10,2,256.0,32768.0,24576.0,8192.0,14 15,mul add,q_rope
llama3-8b,attention,decode,edge,1,4096,C6,Cluster_9,1,48.0,6144.0,3072.0,1024.0,16,mul,k_rope
llama3-8b,attention,decode,edge,1,4096,C7,Cluster_8,1,16.0,2048.0,2048.0,512.0,17,negf,k_rope
llama3-8b,attention,decode,edge,1,4096,C8,Cluster_7,2,64.0,8192.0,6144.0,2048.0,18 19,mul add,k_rope
llama3-8b,attention,decode,edge,1,4096,C9,Cluster_5,1,327680.0,41943040.0,20971520.0,0.0,20,expand,k_repeat
llama3-8b,attention,decode,edge,1,4096,C10,Cluster_6,1,327680.0,41943040.0,20971520.0,0.0,21,expand,v_repeat
llama3-8b,attention,decode,edge,1,4096,C11,Cluster_4,4,264256.0,33824768.0,168845312.0,33554432.0,22 23 24 26,transpose layout layout matmul,k_layout q_rope qk
llama3-8b,attention,decode,edge,1,4096,C12,Cluster_3,4,4112.0,526336.0,2621568.0,655360.0,27 28 29 31,trunc+mul add extend max-reduce,scale mask fp32_extend max_reduce
llama3-8b,attention,decode,edge,1,4096,C13,Cluster_2,6,10240.0,1310720.0,6062080.0,655360.0,32 33 35 36 37 38,sub exp sum-reduce div trunc layout,subtract exp sum_reduce divide bf16_trunc softmax_layout
llama3-8b,attention,decode,edge,1,4096,C14,Cluster_1,3,270400.0,34611200.0,50606080.0,33554432.0,39 41 42,layout matmul transpose,v_matmul_layout av o_proj
llama3-8b,attention,decode,edge,1,4096,C15,Cluster_0,3,264256.0,33824768.0,6316032.0,33554432.0,43 44 45,layout layout matmul,o_proj
llama3-8b,attention,decode,server,8,128,C0,Cluster_13,3,32896.0,33685504.0,983040.0,268435456.0,0 2 3,layout matmul transpose,input q_proj q_rope
llama3-8b,attention,decode,server,8,128,C1,Cluster_12,4,16480.0,16875520.0,1343488.0,134217728.0,5 6 7 8,matmul transpose matmul transpose,k_proj k_rope v_proj v_head_layout
llama3-8b,attention,decode,server,8,128,C2,Cluster_11,1,192.0,196608.0,98304.0,32768.0,9,mul,q_rope
llama3-8b,attention,decode,server,8,128,C3,Cluster_10,1,256.0,65536.0,65536.0,16384.0,10,negf,q_rope
llama3-8b,attention,decode,server,8,128,C4,Cluster_9,2,256.0,262144.0,196608.0,65536.0,11 12,mul add,q_rope
llama3-8b,attention,decode,server,8,128,C5,Cluster_8,1,48.0,49152.0,24576.0,8192.0,13,mul,k_rope
llama3-8b,attention,decode,server,8,128,C6,Cluster_7,1,64.0,16384.0,16384.0,4096.0,14,negf,k_rope
llama3-8b,attention,decode,server,8,128,C7,Cluster_6,3,8240.0,8437760.0,10534912.0,16384.0,15 16 17,mul add expand,k_rope k_repeat
llama3-8b,attention,decode,server,8,128,C8,Cluster_5,1,10240.0,10485760.0,5242880.0,0.0,18,expand,v_repeat
llama3-8b,attention,decode,server,8,128,C9,Cluster_4,3,8320.0,8519680.0,21102592.0,8388608.0,19 20 22,transpose layout matmul,k_layout q_rope qk
llama3-8b,attention,decode,server,8,128,C10,Cluster_3,4,256.0,147456.0,328704.0,163840.0,23 24 25 27,trunc+mul add extend max-reduce,scale mask fp32_extend max_reduce
llama3-8b,attention,decode,server,8,128,C11,Cluster_2,5,320.0,327680.0,753664.0,163840.0,28 29 31 32 33,sub exp sum-reduce div trunc,subtract exp sum_reduce divide bf16_trunc
llama3-8b,attention,decode,server,8,128,C12,Cluster_1,3,8320.0,8519680.0,4390912.0,8388608.0,34 35 36,layout matmul transpose,softmax_layout av o_proj
llama3-8b,attention,decode,server,8,128,C13,Cluster_0,2,32896.0,33685504.0,851968.0,268435456.0,37 38,layout matmul,o_proj
llama3-8b,attention,decode,server,8,4096,C0,Cluster_13,3,32896.0,33685504.0,983040.0,268435456.0,0 2 3,layout matmul transpose,input q_proj q_rope
llama3-8b,attention,decode,server,8,4096,C1,Cluster_12,4,16480.0,16875520.0,1343488.0,134217728.0,5 6 7 8,matmul transpose matmul transpose,k_proj k_rope v_proj v_head_layout
llama3-8b,attention,decode,server,8,4096,C2,Cluster_11,1,192.0,196608.0,98304.0,32768.0,9,mul,q_rope
llama3-8b,attention,decode,server,8,4096,C3,Cluster_10,1,256.0,65536.0,65536.0,16384.0,10,negf,q_rope
llama3-8b,attention,decode,server,8,4096,C4,Cluster_9,2,256.0,262144.0,196608.0,65536.0,11 12,mul add,q_rope
llama3-8b,attention,decode,server,8,4096,C5,Cluster_8,1,48.0,49152.0,24576.0,8192.0,13,mul,k_rope
llama3-8b,attention,decode,server,8,4096,C6,Cluster_7,1,64.0,16384.0,16384.0,4096.0,14,negf,k_rope
llama3-8b,attention,decode,server,8,4096,C7,Cluster_6,3,262192.0,268484608.0,335593472.0,16384.0,15 16 17,mul add expand,k_rope k_repeat
llama3-8b,attention,decode,server,8,4096,C8,Cluster_5,1,327680.0,335544320.0,167772160.0,0.0,18,expand,v_repeat
llama3-8b,attention,decode,server,8,4096,C9,Cluster_4,3,264256.0,270598144.0,541294592.0,268435456.0,19 20 22,transpose layout matmul,k_layout q_rope qk
llama3-8b,attention,decode,server,8,4096,C10,Cluster_3,4,4112.0,4210688.0,2622464.0,5242880.0,23 24 25 27,trunc+mul add extend max-reduce,scale mask fp32_extend max_reduce
llama3-8b,attention,decode,server,8,4096,C11,Cluster_2,5,10240.0,10485760.0,6029312.0,5242880.0,28 29 31 32 33,sub exp sum-reduce div trunc,subtract exp sum_reduce divide bf16_trunc
