model,block,layer,action,config,batch,length,generic_ops,clusterable_generic_ops,clusters,singleton_clusters,min_ops_per_cluster,mean_ops_per_cluster,max_ops_per_cluster,dag_edges,clusterable_dag_edges,intercluster_edges,cut_edge_ratio,ambiguous_matches,excluded_const_broadcasts,unmatched_source_ops,unmatched_cluster_ops,cycles_sum,external_access_sum,sram_access_sum,flops_sum,source_mlir,clustered_mlir
llama3-8b,0,attention,decode,edge,1,128,45,40,15,6,1,2.6667,6,55,47,22,0.468085,20,5,0,0,697120.0,89231360.0,26035072.0,86042112.0,eval/generic/llama3-8b-block0-attention-decode-b1s128-generic.mlir,eval/model/llama3-8b-block0-attention-decode-b1s128-generic-scheduled-edge-6.mlir
llama3-8b,0,attention,decode,edge,1,4096,46,40,16,7,1,2.5000,6,55,47,23,0.489362,14,6,0,0,1865776.0,238819328.0,286999424.0,152323584.0,eval/generic/llama3-8b-block0-attention-decode-b1s4096-generic.mlir,eval/model/llama3-8b-block0-attention-decode-b1s4096-generic-scheduled-edge-6.mlir
llama3-8b,0,attention,decode,server,8,128,39,34,14,5,1,2.4286,5,49,41,21,0.512195,14,5,0,0,118784.0,121274368.0,45933568.0,688336896.0,eval/generic/llama3-8b-block0-attention-decode-b8s128-generic.mlir,eval/model/llama3-8b-block0-attention-decode-b8s128-generic-scheduled-server-6.mlir
llama3-8b,0,attention,decode,server,8,4096,40,34,14,5,1,2.4286,5,49,41,21,0.512195,10,6,0,0,1215824.0,1244758016.0,1191601152.0,1218588672.0,eval/generic/llama3-8b-block0-attention-decode-b8s4096-generic.mlir,eval/model/llama3-8b-block0-attention-decode-b8s4096-generic-scheduled-server-6.mlir
llama3-8b,0,attention,prefill,edge,1,128,45,40,16,6,1,2.5000,6,55,47,22,0.468085,20,5,0,0,2850944.0,127418368.0,587071488.0,11013390336.0,eval/generic/llama3-8b-block0-attention-prefill-b1s128-generic.mlir,eval/model/llama3-8b-block0-attention-prefill-b1s128-generic-scheduled-edge-6.mlir
llama3-8b,0,attention,prefill,edge,1,4096,46,40,26,20,1,1.5385,6,55,47,32,0.680851,16,6,0,0,200802304.0,12096897024.0,65743618048.0,623917400064.0,eval/generic/llama3-8b-block0-attention-prefill-b1s4096-generic.mlir,eval/model/llama3-8b-block0-attention-prefill-b1s4096-generic-scheduled-edge-6.mlir
llama3-8b,0,attention,prefill,server,8,128,35,30,13,5,1,2.3077,6,43,35,17,0.485714,10,5,0,0,507904.0,373424128.0,496500736.0,88107122688.0,eval/generic/llama3-8b-block0-attention-prefill-b8s128-generic.mlir,eval/model/llama3-8b-block0-attention-prefill-b8s128-generic-scheduled-server-6.mlir
llama3-8b,0,attention,prefill,server,8,4096,36,30,15,7,1,2.0000,5,43,35,19,0.542857,8,6,0,0,82317312.0,79058436096.0,123648081920.0,4991339200512.0,eval/generic/llama3-8b-block0-attention-prefill-b8s4096-generic.mlir,eval/model/llama3-8b-block0-attention-prefill-b8s4096-generic-scheduled-server-6.mlir
llama3-8b,0,ffn,decode,edge,1,128,13,11,4,1,1,2.7500,6,15,12,5,0.416667,0,2,0,0,2775328.0,355241984.0,81034368.0,352407552.0,eval/generic/llama3-8b-block0-ffn-decode-b1s128-generic.mlir,eval/model/llama3-8b-block0-ffn-decode-b1s128-generic-scheduled-edge-6.mlir
llama3-8b,0,ffn,decode,edge,1,4096,13,11,4,1,1,2.7500,6,15,12,5,0.416667,0,2,0,0,2775328.0,355241984.0,81034368.0,352407552.0,eval/generic/llama3-8b-block0-ffn-decode-b1s4096-generic.mlir,eval/model/llama3-8b-block0-ffn-decode-b1s4096-generic-scheduled-edge-6.mlir
