partition,layer,clusters,intercluster_edges,clusterable_edges,run_count,conditions
A1,attention,16,22,47,1,edge / prefill / B=1 / L=128
A2,attention,26,32,47,1,edge / prefill / B=1 / L=4096
A3,attention,13,17,35,1,server / prefill / B=8 / L=128
A4,attention,15,19,35,1,server / prefill / B=8 / L=4096
A5,attention,15,22,47,1,edge / decode / B=1 / L=128
A6,attention,16,23,47,1,edge / decode / B=1 / L=4096
A7,attention,14,21,41,1,server / decode / B=8 / L=128
A8,attention,14,21,41,1,server / decode / B=8 / L=4096
F1,ffn,6,7,12,1,edge / prefill / B=1 / L=128
F2,ffn,9,10,12,1,edge / prefill / B=1 / L=4096
F3,ffn,2,1,6,2,"server / prefill / B=8 / L=128, 4096"
F4,ffn,4,5,12,2,"edge / decode / B=1 / L=128, 4096"
F5,ffn,3,3,9,2,"server / decode / B=8 / L=128, 4096"
