hardware,model,block,action,config,batch,length,attention_latency_ms,ffn_latency_ms,total_latency_ms,attention_energy_j,ffn_energy_j,total_energy_j,total_flops,throughput_GFLOPS,energy_efficiency_GFLOPS_per_J,attention_latency_scale,ffn_latency_scale,attention_energy_scale,ffn_energy_scale
Orin-scaled ours,gemma-7b,0,prefill,orin,1,128,1.1138945844744759,3.953626435820189,5.067521020294665,0.03932738166952413,0.15944361791699935,0.19877099958652347,71163450000.0,14043.049790025738,358.0172668449207,0.3268531405737889,0.2742941451898379,0.8855777156771683,0.8713746898120738
Orin-scaled ours,gemma-7b,0,prefill,orin,1,256,2.294770529340457,7.907255614581831,10.202026143922287,0.070170928822861,0.2672487003410455,0.33741962916390644,142868520000.0,14003.935883374685,423.4149635989303,0.3268531405737889,0.2742941451898379,0.8855777156771683,0.8713746898120738
Orin-scaled ours,gemma-7b,0,prefill,orin,1,512,4.835877196605756,15.814511229163662,20.650388425769417,0.14059972016497285,0.48683390224912226,0.6274336224140951,287903300000.0,13941.786181645295,458.8585783660617,0.3268531405737889,0.2742941451898379,0.8855777156771683,0.8713746898120738
Orin-scaled ours,gemma-7b,0,prefill,orin,1,1024,10.656772091770305,31.629022458327324,42.28579455009763,0.3200568193384285,0.9574699946642659,1.2775268140026943,584472000000.0,13821.946736924932,457.5027260435782,0.3268531405737889,0.2742941451898379,0.8855777156771683,0.8713746898120738
Orin-scaled ours,gemma-7b,0,prefill,orin,1,4096,64.9045682216136,128.45751636354845,193.36208458516205,2.30415277762266,3.8858753875990772,6.190028165221737,2545859100000.0,13166.278722438643,411.28392828706995,0.3268531405737889,0.2742941451898379,0.8855777156771683,0.8713746898120738
Orin-scaled ours,gemma-7b,0,decode,orin,1,128,0.8028574237319257,3.567888,4.370745423731925,0.013661895042860035,0.05998249338736886,0.07364438843022889,555964500.0,127.2013000302576,7.549312471061172,0.9998622905669039,1.0,0.9952252599800134,0.99152123230765
Orin-scaled ours,gemma-7b,0,decode,orin,1,256,0.8120401590084921,3.567888,4.379928159008492,0.013895902358239136,0.05998249338736886,0.07387839574560799,558080000.0,127.41761502461164,7.55403517317412,0.9998622905669039,1.0,0.9952252599800134,0.99152123230765
Orin-scaled ours,gemma-7b,0,decode,orin,1,512,0.8304056295616251,3.567888,4.398293629561625,0.014363907036744738,0.05998249338736886,0.0743464004241136,562311200.0,127.84758075736868,7.563395090983037,0.9998622905669039,1.0,0.9952252599800134,0.99152123230765
Orin-scaled ours,gemma-7b,0,decode,orin,1,1024,0.9291440304796879,3.567888,4.497032030479688,0.016369106795057667,0.05998249338736886,0.07635160018242652,570773500.0,126.92226698218934,7.4755931589679,0.9998622905669039,1.0,0.9952252599800134,0.99152123230765
Orin-scaled ours,gemma-7b,0,decode,orin,1,4096,1.3345921887537298,3.567888,4.90248018875373,0.025198904537641943,0.05998249338736886,0.0851813979250108,621547600.0,126.78227673939973,7.296752755186968,0.9998622905669039,1.0,0.9952252599800134,0.99152123230765
