model,block,action,config,batch,length,attention_latency_ms,ffn_latency_ms,total_latency_ms,attention_energy_j,ffn_energy_j,total_energy_j,total_flops,throughput_GFLOPS,energy_efficiency_GFLOPS_per_J
gemma-7b,0,prefill,edge,1,128,3.407936,14.41382,17.821756,0.04440873,0.1829794,0.22738813,71163450000.0,3993.0661153704496,312.9602675390312
gemma-7b,0,prefill,edge,1,256,7.0208,28.82765,35.84845,0.07923746,0.3066978,0.38593526,142868520000.0,3985.3472046908582,370.18778745429995
gemma-7b,0,prefill,edge,1,512,14.79526,57.6553,72.45056,0.1587661,0.5586964,0.7174625,287903300000.0,3973.789850623653,401.2799275223444
gemma-7b,0,prefill,edge,1,1024,32.60416,115.3106,147.91476,0.3614102,1.098804,1.4602141999999998,584472000000.0,3951.410934243479,400.26456392493657
gemma-7b,0,prefill,edge,1,4096,198.5741,468.3203,666.8943999999999,2.601864,4.459477,7.061341,2545859100000.0,3817.4845972615763,360.534790771328
gemma-7b,0,prefill,server,8,128,0.577792,2.162688,2.7404800000000002,0.1796627,0.6793564,0.8590191,569307500000.0,207740.06743344228,662.7413755992154
gemma-7b,0,prefill,server,8,256,1.229824,4.325376,5.5552,0.3725957,1.339249,1.7118446999999999,1142947900000.0,205743.78960253455,667.6703207948711
gemma-7b,0,prefill,server,8,512,2.687232,8.650752,11.337984,0.808717,2.678497,3.4872140000000003,2303227000000.0,203142.55162117005,660.4776764488786
gemma-7b,0,prefill,server,8,1024,6.42304,17.3015,23.72454,1.891617,5.356995,7.2486120000000005,4675776500000.0,197086.07627376547,645.0581849325084
gemma-7b,0,prefill,server,8,4096,56.91802,69.20602,126.12404,14.36292,21.42798,35.7909,20366865000000.0,161482.81485432913,569.0514907420601
gemma-7b,0,decode,edge,1,128,0.802968,3.567888,4.370856,0.01372744,0.06049542,0.07422286,555964500.0,127.19808202329246,7.490475306394822
gemma-7b,0,decode,edge,1,256,0.812152,3.567888,4.38004,0.01396257,0.06049542,0.07445799,558080000.0,127.41436151268024,7.495233218087138
gemma-7b,0,decode,edge,1,512,0.83052,3.567888,4.398408,0.01443282,0.06049542,0.07492824000000001,562311200.0,127.84425637639801,7.50466312834787
gemma-7b,0,decode,edge,1,1024,0.929272,3.567888,4.49716,0.01644764,0.06049542,0.07694306000000001,570773500.0,126.91865532914106,7.418128418599415
gemma-7b,0,decode,edge,1,4096,1.334776,3.567888,4.902664,0.0253198,0.06049542,0.08581522,621547600.0,126.77752340360261,7.242859716493181
gemma-7b,0,decode,server,8,128,0.112576,0.444336,0.556912,0.01558401,0.06276486,0.07834887,4447715400.0,7986.388154681529,56.76808612555612
gemma-7b,0,decode,server,8,256,0.125064,0.444336,0.5694,0.0169958,0.06276486,0.07976066000000001,4464640100.0,7840.955567263786,55.9754658499566
gemma-7b,0,decode,server,8,512,0.150152,0.444336,0.594488,0.01981938,0.06276486,0.08258424,4498489400.0,7566.997819972817,54.47152386460177
gemma-7b,0,decode,server,8,1024,0.200328,0.444336,0.644664,0.02553708,0.06276486,0.08830194000000001,4566188100.0,7083.051170842486,51.71107339204551
gemma-7b,0,decode,server,8,4096,0.501384,0.444336,0.9457200000000001,0.05983898,0.06276486,0.12260384,4972380000.0,5257.771856363405,40.55647849202766
llama3-8b,0,prefill,edge,1,128,2.850944,11.16979,14.020734000000001,0.03749829,0.1395122,0.17701049,56121560000.0,4002.7547773176498,317.05217018494216
llama3-8b,0,prefill,edge,1,256,5.997056,22.33958,28.336636000000002,0.07015399,0.2313021,0.30145609,112790470000.0,3980.376146272267,374.1522355710246
llama3-8b,0,prefill,edge,1,512,12.94336,44.67917,57.62253,0.1494774,0.4277201,0.5771975,227770400000.0,3952.8011005417497,394.61432178760305
llama3-8b,0,prefill,edge,1,1024,29.42566,89.35834,118.78399999999999,0.3668644,0.8409825,1.2078468999999998,464298400000.0,3908.762122844828,384.40169859276045
llama3-8b,0,prefill,edge,1,4096,200.8023,362.9384,563.7407000000001,3.334065,3.41391,6.747975,2067378400000.0,3667.2505639560877,306.37019253924325
llama3-8b,0,prefill,server,8,128,0.507904,1.376256,1.88416,0.1573885,0.5133964,0.6707848999999999,448972420000.0,238287.841796875,669.3239815028634
llama3-8b,0,prefill,server,8,256,1.0816,2.752512,3.8341119999999997,0.3422935,1.026793,1.3690865,902323800000.0,235341.01246911933,659.0699711084727
