model,action,block,config,batch,length,size,execution_ours_ms,execution_original_ms,attention_latency,ffn_latency,total_latency,attention_energy,ffn_energy,total_energy,edp
gemma-7b,prefill,0,edge,1,4096,1,522.0,522.0,318.1486,471.466,789.6146,4.385242,4.511017,8.896259,7024.6159917814
gemma-7b,prefill,0,edge,1,4096,2,1353.0,488968.0,249.4341,468.3203,717.7544,3.259424,4.459477,7.718901,5540.2751559144
gemma-7b,prefill,0,edge,1,4096,3,14439.0,185266228.0,225.8412,468.3203,694.1614999999999,2.931882,4.459477,7.391359,5130.796850478499
gemma-7b,prefill,0,edge,1,4096,4,48897.0,118245151608.0,223.744,468.3203,692.0643,2.878397,4.459477,7.337873999999999,5078.2806332982
gemma-7b,prefill,0,edge,1,4096,5,95505.0,78064187705859.0,206.9627,468.3203,675.283,2.739303,4.459477,7.198779999999999,4861.21375474
gemma-7b,prefill,0,edge,1,4096,6,151483.0,3.987635157382925e+16,198.5741,468.3203,666.8943999999999,2.601864,4.459477,7.061341,4709.168769390399
llama3-8b,prefill,0,edge,1,4096,1,544.0,544.0,437.5921,367.5259,805.1179999999999,6.908209,3.484125,10.392334,8367.055165411999
llama3-8b,prefill,0,edge,1,4096,2,1346.0,532957.0,301.6049,362.9384,664.5433,4.699807,3.41391,8.113717,5391.9162704461
llama3-8b,prefill,0,edge,1,4096,3,21549.0,374260452.0,242.7535,362.9384,605.6919,3.981795,3.41391,7.3957049999999995,4479.5186132895
llama3-8b,prefill,0,edge,1,4096,4,92426.0,335843667810.0,242.2292,362.9384,605.1676,3.951745,3.41391,7.365655,4457.455758778
llama3-8b,prefill,0,edge,1,4096,5,167246.0,321377008257561.0,200.8023,362.9384,563.7407000000001,3.363245,3.41391,6.7771550000000005,3820.5581037085008
llama3-8b,prefill,0,edge,1,4096,6,245951.0,2.092557663334602e+17,200.8023,362.9384,563.7407000000001,3.334065,3.41391,6.747975,3804.1081500825007
qwen3-8b,prefill,0,edge,1,4096,1,696.0,696.0,444.7193,315.0971,759.8163999999999,7.047355,2.988242,10.035597,7625.211184390799
qwen3-8b,prefill,0,edge,1,4096,2,1760.0,653249.0,305.2916,311.1649,616.4565,4.782584,2.928058,7.710642,4753.275380073
qwen3-8b,prefill,0,edge,1,4096,3,25179.0,408110664.0,245.2115,311.1649,556.3764,4.04444,2.928058,6.972498,3879.3333362472
qwen3-8b,prefill,0,edge,1,4096,4,83926.0,317106609148.0,244.0321,311.1649,555.197,4.004266,2.928058,6.932324,3848.8054878280004
qwen3-8b,prefill,0,edge,1,4096,5,156462.0,265890114631334.0,202.6052,311.1649,513.7701,3.415766,2.928058,6.343824,3259.2670908623995
qwen3-8b,prefill,0,edge,1,4096,6,232660.0,2.0990780029765443e+17,202.6052,311.1649,513.7701,3.386586,2.928058,6.3146439999999995,3244.2752793443997
qwen3-moe,prefill,0,edge,1,4096,1,902.0,902.0,859.6442,310.9684,1170.6126,13.77527,3.108406,16.883676,19764.2438599176
qwen3-moe,prefill,0,edge,1,4096,2,2150.0,1409581.0,582.0176,307.0198,889.0373999999999,9.265856,3.047556,12.313412,10947.0837896088
qwen3-moe,prefill,0,edge,1,4096,3,35396.0,2563431282.0,462.4226,307.0138,769.4364,7.798829,3.047444,10.846273,8345.517250537201
qwen3-moe,prefill,0,edge,1,4096,4,111796.0,4961454793368.0,460.2604,305.4409,765.7013,7.72152,3.029334,10.750854,8231.9428839102
qwen3-moe,prefill,0,edge,1,4096,5,197377.0,5215493807030440.0,377.4065,305.4368,682.8433,6.544519,3.029267,9.573786,6537.3956257338
qwen3-moe,prefill,0,edge,1,4096,6,302010.0,4.0099198115577555e+17,377.4065,305.4368,682.8433,6.486159,3.029267,9.515426,6497.544890745799
