model,block,action,config,batch,length,arch,total_latency_cycles,total_energy_uJ,total_flops,throughput_GFLOPS,energy_eff_GFLOPS_per_J
qwen3-moe,0,decode,edge,1,128,gemmini_os,14011882.0,115243.557968,449163436.0,32.05589627431918,3.897514480806992
qwen3-moe,0,decode,edge,1,128,gemmini_ws,5206604.0,115141.457968,449163436.0,86.26802345636426,3.9009705446393688
qwen3-moe,0,decode,edge,1,128,lego,5207082.0,115113.65227199998,449163436.0,86.26010421959938,3.901912823847164
qwen3-moe,0,decode,edge,1,256,gemmini_os,14114538.0,116592.538704,453464236.0,32.12745865291517,3.8893075066427274
qwen3-moe,0,decode,edge,1,256,gemmini_ws,5260172.0,116489.468704,453464236.0,86.20711185869968,3.8927487698673744
qwen3-moe,0,decode,edge,1,256,lego,5260650.0,116462.21300799999,453464236.0,86.19927879634646,3.893659791342371
qwen3-moe,0,decode,edge,1,512,gemmini_os,14319850.0,119290.31633599999,462065836.0,32.267505316047306,3.8734563725903675
qwen3-moe,0,decode,edge,1,512,gemmini_ws,5367308.0,119185.81633599999,462065836.0,86.08893620414554,3.876852550117017
qwen3-moe,0,decode,edge,1,512,lego,5367786.0,119170.65064,462065836.0,86.0812700059205,3.877345919641276
qwen3-moe,0,decode,edge,1,1024,gemmini_os,14742762.0,124688.378768,479269036.0,32.50876843836996,3.8437346024984933
qwen3-moe,0,decode,edge,1,1024,gemmini_ws,5593868.0,124581.008768,479269036.0,85.67757337141313,3.84704732077194
qwen3-moe,0,decode,edge,1,1024,lego,5594346.0,124553.27307199998,479269036.0,85.67025278736782,3.847903986617445
qwen3-moe,0,decode,edge,1,2048,gemmini_os,15576298.0,135481.08728,513675436.0,32.978018011725254,3.7914918333832257
qwen3-moe,0,decode,edge,1,2048,gemmini_ws,6034700.0,135362.738704,513675436.0,85.12029363514343,3.7948067608417912
qwen3-moe,0,decode,edge,1,2048,lego,6035178.0,135352.973008,513675436.0,85.11355191180773,3.7950805555607516
qwen3-moe,0,decode,edge,1,4096,gemmini_os,17186026.0,157061.508016,582488236.0,33.89313131494157,3.7086632069052934
qwen3-moe,0,decode,edge,1,4096,gemmini_ws,6859020.0,156927.31944,582488236.0,84.92295342483328,3.7118344854078136
qwen3-moe,0,decode,edge,1,4096,lego,6859498.0,156941.44374400002,582488236.0,84.91703561980775,3.7115004303779955
qwen3-moe,0,decode,server,8,128,gemmini_os,12193950.0,752632.137968,3593307488.0,294.6795327190943,4.774321088256237
qwen3-moe,0,decode,server,8,128,gemmini_ws,3270248.0,752512.937968,3593307488.0,1098.7874583212038,4.77507735309237
qwen3-moe,0,decode,server,8,128,lego,3271944.0,753385.259504,3593307488.0,1098.2179059299303,4.769548438425376
qwen3-moe,0,decode,server,8,256,gemmini_os,12310174.0,765546.431872,3627713888.0,294.69233237483076,4.738724833618657
qwen3-moe,0,decode,server,8,256,gemmini_ws,3337000.0,765423.031872,3627713888.0,1087.118336230147,4.739488801542432
