model,block,action,config,batch,length,arch,total_latency_cycles,total_energy_uJ,total_flops,throughput_GFLOPS,energy_eff_GFLOPS_per_J
qwen3-moe,0,decode,edge,1,128,gemmini_os,8152821.0,67912.37,449163436.0,55.093008420030316,6.613867782850164
qwen3-moe,0,decode,edge,1,128,gemmini_ws,2890166.0,67810.27,449163436.0,155.41094732966894,6.623826095958621
qwen3-moe,0,decode,edge,1,128,lego,2890421.0,67778.26999999999,449163436.0,155.39723659632975,6.626953387863103
qwen3-moe,0,decode,edge,1,256,gemmini_os,8236917.0,68703.41,453464236.0,55.05266545723357,6.600316287066391
qwen3-moe,0,decode,edge,1,256,gemmini_ws,2925174.0,68600.34,453464236.0,155.02128625510824,6.610233068815694
qwen3-moe,0,decode,edge,1,256,lego,2925429.0,68568.89,453464236.0,155.00777356073246,6.613264936912352
qwen3-moe,0,decode,edge,1,512,gemmini_os,8405109.0,70285.47,462065836.0,54.974401402765864,6.574130271875538
qwen3-moe,0,decode,edge,1,512,gemmini_ws,2995190.0,70180.97,462065836.0,154.2692904289878,6.5839192020286985
qwen3-moe,0,decode,edge,1,512,lego,2995445.0,70161.61,462065836.0,154.25615759928826,6.585735931658353
qwen3-moe,0,decode,edge,1,1024,gemmini_os,8747637.0,73450.56999999999,479269036.0,54.78840011308197,6.525055367167336
qwen3-moe,0,decode,edge,1,1024,gemmini_ws,3141366.0,73343.2,479269036.0,152.5670794170434,6.534607652788534
qwen3-moe,0,decode,edge,1,1024,lego,3141621.0,73311.26999999999,479269036.0,152.5546958083104,6.537453736649224
qwen3-moe,0,decode,edge,1,2048,gemmini_os,9426549.0,79779.47,513675436.0,54.49241668398478,6.438692009360303
qwen3-moe,0,decode,edge,1,2048,gemmini_ws,3427574.0,79662.17,513675436.0,149.8656005676318,6.448172777618285
qwen3-moe,0,decode,edge,1,2048,lego,3427829.0,79648.20999999999,513675436.0,149.8544518994384,6.44930295357548
qwen3-moe,0,decode,edge,1,4096,gemmini_os,10755701.0,92434.19,582488236.0,54.156231750957005,6.301653489904547
qwen3-moe,0,decode,edge,1,4096,gemmini_ws,3971318.0,92301.05,582488236.0,146.67378336360875,6.3107433339057355
qwen3-moe,0,decode,edge,1,4096,lego,3971573.0,92310.98000000001,582488236.0,146.66436598294933,6.310064479870108
qwen3-moe,0,decode,server,8,128,gemmini_os,7277135.0,501746.63,3593307488.0,493.7805177449642,7.1615976533813495
qwen3-moe,0,decode,server,8,128,gemmini_ws,1922648.0,501627.43,3593307488.0,1868.9367414108042,7.163299439187367
qwen3-moe,0,decode,server,8,128,lego,1923640.0,502147.43,3593307488.0,1867.9729512798654,7.155881466922971
qwen3-moe,0,decode,server,8,256,gemmini_os,7368271.0,510201.6,3627713888.0,492.34262529160503,7.1103538052409085
qwen3-moe,0,decode,server,8,256,gemmini_ws,1964312.0,510078.19999999995,3627713888.0,1846.8114474686301,7.112073968266043
qwen3-moe,0,decode,server,8,256,lego,1965560.0,510652.8,3627713888.0,1845.6388449093388,7.104071275042456
qwen3-moe,0,decode,server,8,512,gemmini_os,7612239.0,527073.34,3696526688.0,485.60307788549466,7.01330613307059
qwen3-moe,0,decode,server,8,512,gemmini_ws,2042328.0,526884.44,3696526688.0,1809.9574054706197,7.015820562095173
qwen3-moe,0,decode,server,8,512,lego,2043640.0,527432.34,3696526688.0,1808.7954277661427,7.008532483995958
qwen3-moe,0,decode,server,8,1024,gemmini_os,8080719.0,560951.6799999999,3834152288.0,474.4815762062757,6.835084775929365
qwen3-moe,0,decode,server,8,1024,gemmini_ws,2183768.0,560642.48,3834152288.0,1755.750742752893,6.8388543943370115
qwen3-moe,0,decode,server,8,1024,lego,2185016.0,561177.38,3834152288.0,1754.7479231273364,6.832335772336369
qwen3-moe,0,decode,server,8,2048,gemmini_os,9006927.0,628197.0800000001,4109403488.0,456.2492277332768,6.541583236903933
qwen3-moe,0,decode,server,8,2048,gemmini_ws,2459544.0,628111.1799999999,4109403488.0,1670.798931834519,6.5424778587765315
qwen3-moe,0,decode,server,8,2048,lego,2464312.0,628963.38,4109403488.0,1667.56623674275,6.533613273319665
qwen3-moe,0,decode,server,8,4096,gemmini_os,10904911.0,763262.38,4659905888.0,427.3217716311486,6.105247697390771
qwen3-moe,0,decode,server,8,4096,gemmini_ws,3041176.0,763042.6799999999,4659905888.0,1532.2710319955174,6.107005558326044
qwen3-moe,0,decode,server,8,4096,lego,3044216.0,763806.6799999999,4659905888.0,1530.740883038523,6.100897007080379
qwen3-moe,0,prefill,edge,1,128,gemmini_os,81974840.0,661604.56,57492919808.0,701.3483625951573,86.89921938869345
qwen3-moe,0,prefill,edge,1,128,gemmini_ws,29838905.0,696117.33,57492919808.0,1926.7771323377985,82.59084687347175
qwen3-moe,0,prefill,edge,1,128,lego,28239928.0,791917.97,57492919808.0,2035.8734557680175,72.59958983883142
qwen3-moe,0,prefill,edge,1,256,gemmini_os,94939584.0,1074674.82,116086844416.0,1222.7443972790106,108.02043767620795
qwen3-moe,0,prefill,edge,1,256,gemmini_ws,59267904.0,914152.22,116086844416.0,1958.679767315544,126.9885275955464
qwen3-moe,0,prefill,edge,1,256,lego,51109176.0,1141524.32,116086844416.0,2271.350342568622,101.69458712539738
qwen3-moe,0,prefill,edge,1,512,gemmini_os,116491376.0,2135678.59,236577708032.0,2030.8602761461073,110.77402243003243
qwen3-moe,0,prefill,edge,1,512,gemmini_ws,121087328.0,1395312.09,236577708032.0,1953.7775912604166,169.55182265495887
qwen3-moe,0,prefill,edge,1,512,lego,105482592.0,2148986.29,236577708032.0,2242.812804903391,110.08804901775339
qwen3-moe,0,prefill,edge,1,1024,gemmini_os,137986624.0,2194714.8,490771492864.0,3556.6599039628654,223.61515622166488
qwen3-moe,0,prefill,edge,1,1024,gemmini_ws,255740992.0,2485263.8,490771492864.0,1919.0177101682627,197.4725954097911
qwen3-moe,0,prefill,edge,1,1024,lego,212883968.0,3886209.3,490771492864.0,2305.347356471672,126.28539920997049
qwen3-moe,0,prefill,edge,1,2048,gemmini_os,318956896.0,4721973.5,1052007292928.0,3298.274174727359,222.78974944014405
qwen3-moe,0,prefill,edge,1,2048,gemmini_ws,569088576.0,5266055.5,1052007292928.0,1848.5826939671338,199.7714025095254
qwen3-moe,0,prefill,edge,1,2048,lego,443413569.0,10631402.5,1052007292928.0,2372.5193960584456,98.95282329194102
qwen3-moe,0,prefill,edge,1,4096,gemmini_os,812942657.0,12097790.2,2385871814656.0,2934.858681743404,197.2155059075169
qwen3-moe,0,prefill,edge,1,4096,gemmini_ws,1371942144.0,13192758.2,2385871814656.0,1739.0469598811303,180.84708129161345
qwen3-moe,0,prefill,edge,1,4096,lego,1421716609.0,21643921.200000003,2385871814656.0,1678.162722129386,110.23288213856551
qwen3-moe,0,prefill,server,8,128,gemmini_os,24114920.0,2263964.6,459943358464.0,19072.97882240538,203.1583702607364
qwen3-moe,0,prefill,server,8,128,gemmini_ws,8305673.0,2145239.0,459943358464.0,55377.012611018996,214.40191907008963
qwen3-moe,0,prefill,server,8,128,lego,12070144.0,2769073.5,459943358464.0,38105.87168338671,166.1000903240741
qwen3-moe,0,prefill,server,8,256,gemmini_os,39618096.0,4193848.4499999997,928694755328.0,23441.175853781566,221.4421351653754
qwen3-moe,0,prefill,server,8,256,gemmini_ws,10522688.0,3646157.4499999997,928694755328.0,88256.418448214,254.70506089307804
qwen3-moe,0,prefill,server,8,256,lego,24495185.0,5774148.449999999,928694755328.0,37913.35951649273,160.83666074224334
qwen3-moe,0,prefill,server,8,512,gemmini_os,40765552.0,7141241.6,1892621664256.0,46426.98482915183,265.0269757371043
qwen3-moe,0,prefill,server,8,512,gemmini_ws,29645248.0,7319150.6,1892621664256.0,63842.328600388166,258.58487790318185
qwen3-moe,0,prefill,server,8,512,lego,35815328.0,9952791.6,1892621664256.0,52843.90147860715,190.15988079726296
qwen3-moe,0,prefill,server,8,1024,gemmini_os,39389361.0,14160187.0,3926171942912.0,99675.94912016978,277.2683682010697
qwen3-moe,0,prefill,server,8,1024,gemmini_ws,63675648.0,14725464.0,3926171942912.0,61658.924035009426,266.6246675087454
qwen3-moe,0,prefill,server,8,1024,lego,68268224.0,17991759.0,3926171942912.0,57510.972350943244,218.2205721470591
qwen3-moe,0,prefill,server,8,2048,gemmini_os,159747808.0,35488227.5,8416058343424.0,52683.4042281444,237.1507098635456
qwen3-moe,0,prefill,server,8,2048,gemmini_ws,199512832.0,36707814.5,8416058343424.0,42183.04286024069,229.27157222678022
qwen3-moe,0,prefill,server,8,2048,lego,228449920.0,45502114.5,8416058343424.0,36839.83931105776,184.9597196944331
qwen3-moe,0,prefill,server,8,4096,gemmini_os,382975680.0,97945769.7,19086974517248.0,49838.60729028015,194.87288298116258
qwen3-moe,0,prefill,server,8,4096,gemmini_ws,540937472.0,101162539.7,19086974517248.0,35284.99226847424,188.67630818533118
qwen3-moe,0,prefill,server,8,4096,lego,618880002.0,137355689.7,19086974517248.0,30841.15572577186,138.96020295144717
