model,block,action,config,batch,length,arch,total_latency_cycles,total_energy_uJ,total_flops,throughput_GFLOPS,energy_eff_GFLOPS_per_J
qwen3-moe,0,decode,edge,1,128,gemmini_os,8088309.0,67512.31,449107000.0,55.525450375350395,6.652223868506351
qwen3-moe,0,decode,edge,1,128,gemmini_ws,2873912.0,67411.15,449107000.0,156.2702685398857,6.662206474744905
qwen3-moe,0,decode,edge,1,128,lego,2874167.0,67379.25,449107000.0,156.25640402941096,6.6653606266024035
qwen3-moe,0,decode,edge,1,128,ours,3559203.0,59862.32,449107000.0,126.1819008356646,7.50233201787034
qwen3-moe,0,decode,edge,1,256,gemmini_os,8107893.0,67905.79,453383200.0,55.91874485763441,6.676650105977708
qwen3-moe,0,decode,edge,1,256,gemmini_ws,2892729.0,67804.63,453383200.0,156.73199943720965,6.68661122404178
qwen3-moe,0,decode,edge,1,256,lego,2892984.0,67772.72,453383200.0,156.71818440751832,6.689759537465812
qwen3-moe,0,decode,edge,1,256,ours,3627299.0,61239.299999999996,453383200.0,124.99195682517488,7.403468034415809
qwen3-moe,0,decode,edge,1,512,gemmini_os,8147061.0,68692.77,461936700.0,56.69979640510854,6.724677138511083
qwen3-moe,0,decode,edge,1,512,gemmini_ws,2930363.0,68591.57,461936700.0,157.63804689043644,6.734598726928105
qwen3-moe,0,decode,edge,1,512,lego,2930618.0,68559.65,461936700.0,157.62433043132881,6.737734221221958
qwen3-moe,0,decode,edge,1,512,ours,3763515.0,64001.299999999996,461936700.0,122.74076229269711,7.217614329708929
qwen3-moe,0,decode,edge,1,1024,gemmini_os,8231541.0,70267.7,479042100.0,58.19591981622882,6.817386935960619
qwen3-moe,0,decode,edge,1,1024,gemmini_ws,3011775.0,70166.44,479042100.0,159.05640361580797,6.827225380110492
qwen3-moe,0,decode,edge,1,1024,lego,3012030.0,70134.48999999999,479042100.0,159.04293781934442,6.830335545321569
qwen3-moe,0,decode,edge,1,1024,ours,4035939.0,69547.88,479042100.0,118.69408829023432,6.887946836050214
qwen3-moe,0,decode,edge,1,4096,gemmini_os,8691317.0,79709.01,581670000.0,66.92541533118629,7.297418447425203
qwen3-moe,0,decode,edge,1,4096,gemmini_ws,3453143.0,79607.39,581670000.0,168.44654275829296,7.306733709018723
qwen3-moe,0,decode,edge,1,4096,lego,3453398.0,79575.12,581670000.0,168.43410461232676,7.309696799703223
qwen3-moe,0,decode,edge,1,4096,ours,5702955.0,102585.09,581670000.0,101.99449232897682,5.6701222370619355
qwen3-moe,0,decode,server,8,128,gemmini_os,7147087.0,497399.73,3592856000.0,502.7021498409072,7.223276940660985
qwen3-moe,0,decode,server,8,128,gemmini_ws,1906012.0,497273.03,3592856000.0,1885.012266449529,7.225117356555613
qwen3-moe,0,decode,server,8,128,lego,1907262.0,497809.32999999996,3592856000.0,1883.7768486972425,7.217333592361558
